Round    1    Mode 1 costs   2e-06   seconds!
Round    1    Mode 2 costs   1.1e-05   seconds!
Round    1    Mode 3 costs   6e-06   seconds!
Round    2    Mode 1 costs   4e-06   seconds!
Round    2    Mode 2 costs   2.3e-05   seconds!
Round    2    Mode 3 costs   2e-05   seconds!
Round    3    Mode 1 costs   2.6e-05   seconds!
Round    3    Mode 2 costs   0.000104   seconds!
Round    3    Mode 3 costs   9.7e-05   seconds!
Round    4    Mode 1 costs   0.000233   seconds!
Round    4    Mode 2 costs   0.000771   seconds!
Round    4    Mode 3 costs   0.000604   seconds!
Round    5    Mode 1 costs   0.001751   seconds!
Round    5    Mode 2 costs   0.004166   seconds!
Round    5    Mode 3 costs   0.003808   seconds!
Round    6    Mode 1 costs   0.012725   seconds!
Round    6    Mode 2 costs   0.031629   seconds!
Round    6    Mode 3 costs   0.026681   seconds!
Round    7    Mode 1 costs   0.108709   seconds!
Round    7    Mode 2 costs   0.245282   seconds!
Round    7    Mode 3 costs   0.186738   seconds!
Round    8    Mode 1 costs   0.94422   seconds!
Round    8    Mode 2 costs   2.16051   seconds!
Round    8    Mode 3 costs   1.39623   seconds!
Round    9    Mode 1 costs   15.8762   seconds!
Round    9    Mode 2 costs   17.5623   seconds!
Round    9    Mode 3 costs   9.89237   seconds!
Round    10    Mode 1 costs   149.123   seconds!
Round    10    Mode 2 costs   144.846   seconds!
Round    10    Mode 3 costs   72.203   seconds!
Round    11    Mode 1 costs   1326.32   seconds!
Round    11    Mode 2 costs   1216.94   seconds!
Round    11    Mode 3 costs   530.189   seconds!

